央视,#genre#
CCTV-1综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合,http://221.2.146.228:8888/newlive/live/hls/2/live.m3u8
CCTV-1综合,http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8
CCTV-1综合,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV-1综合,http://60.255.120.30:89/live2/live2.m3u8
CCTV-1综合,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV-1综合,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV-2财经,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV-2财经,http://111.59.63.32:9901/tsfile/live/1009_1.m3u8
CCTV-2财经,http://www.furymax.top:85/rtp/239.69.1.102:10250
CCTV-2财经,https://tracker-00.qvb.qcloud.com/api/tracker/v2/htbt?channel=h5_live_hls_1252894780_3_v4_lls_ldocctvwbcdalivmyalicdncom_cdrmldcctv2_1_index&pid=6582470AAE35D7092382508E64&mode=bat
CCTV-2财经,http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2财经,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-3综艺,http://221.213.43.82:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,https://tracker-00.qvb.qcloud.com/api/tracker/v2/htbt?channel=h5_live_hls_1252894780_3_v4_lls_ldocctvwbcdbdabdydnscom_cdrmldcctv3_1_index&pid=658247C5CF848B092382A1BC24&mode=bat 
CCTV-3综艺,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
